date,team,channel,leads,meetings,proposals,closed_cases,revenue_thb
2026-07-01,North,Referral,34,21,14,6,420000
2026-07-01,North,Facebook,48,19,10,3,205000
2026-07-01,Central,Referral,41,26,17,8,610000
2026-07-01,Central,Event,29,18,13,5,365000
2026-07-01,South,LINE,38,22,12,4,290000
2026-07-08,North,Referral,37,24,16,7,510000
2026-07-08,North,Facebook,52,21,11,4,275000
2026-07-08,Central,Referral,45,28,19,9,690000
2026-07-08,Central,Event,32,20,14,6,440000
2026-07-08,South,LINE,43,25,15,6,405000
2026-07-15,North,Referral,40,27,18,8,585000
2026-07-15,North,Facebook,55,22,12,4,300000
2026-07-15,Central,Referral,47,31,21,10,760000
2026-07-15,Central,Event,35,23,16,7,520000
2026-07-15,South,LINE,46,28,17,7,480000
2026-07-22,North,Referral,44,29,20,9,675000
2026-07-22,North,Facebook,58,24,14,5,355000
2026-07-22,Central,Referral,51,34,23,11,830000
2026-07-22,Central,Event,39,26,18,8,590000
2026-07-22,South,LINE,49,30,19,8,550000
